policy_id,sub_sector,region,policy_year,premium_usd,had_claim,n_claims,total_loss,bi_loss,log_revenue,cyber_control_score,vendor_control_pressure,prior_incident_score,limit_mm,retention_mm,predicted_claim_probability,expected_claim_frequency,expected_claim_severity,pure_premium,technical_premium_template,premium_gap,indicated_to_current_ratio,actual_loss_ratio
POL-2020000,Broker-Dealer,National,2020,691695,0,0.0,0.0,0.0,6.860244296311086,0.8722500000000001,10.789473684210526,0.0,2,0.076,0.07,0.06995,7266825.22,508329.59,1129621.32,437926.32,1.63312,0.0
POL-2020001,Regional Bank,National,2021,1044220,1,1.0,27180.0,10139.0,6.596190266067024,0.7325,7.419354838709677,0.0,10,0.244,0.68,0.67953,2907725.76,1975900.16,4390889.25,3346669.25,4.20495,0.02603
POL-2020002,Community Bank,Southeast,2020,45292,0,0.0,0.0,0.0,4.041295341132285,0.9702500000000002,4.0,0.0,5,0.162,0.02,0.01999,1034977.5,20685.38,45967.52,675.52,1.01491,0.0
POL-2020003,National Bank,Northeast,2022,419848548,1,1.0,3621732.0,2025802.0,10.397045952153281,0.6499999999999999,13.0,0.0,250,4.757,0.68,0.67953,7718834.09,5245214.57,11656032.37,-408192515.63,0.02776,0.00863
POL-2020004,Broker-Dealer,Midwest,2022,1280636,0,0.0,0.0,0.0,6.286742696181391,0.46399999999999997,17.333333333333332,0.0,15,0.265,0.07,0.06995,2862077.63,200208.3,444907.34,-835728.66,0.34741,0.0
POL-2020005,National Bank,Southeast,2023,103618007,0,0.0,0.0,0.0,9.616052116333794,0.607,23.703703703703702,0.0,100,1.899,0.05,0.04997,6194045.92,309490.32,687756.26,-102930250.74,0.00664,0.0
POL-2020006,Regional Bank,Southwest,2021,353381,1,1.0,1123789.0,116934.0,6.429719478039138,0.8517499999999999,2.7777777777777777,0.6931471805599453,2,0.057,0.72,0.71951,3515758.53,2529613.53,5621363.4,5267982.4,15.90737,3.18011
POL-2020007,Fintech-Payments,Southwest,2020,226527,0,0.0,0.0,0.0,5.834810737062605,0.6407499999999999,19.428571428571427,0.0,1,0.025,0.06,0.05996,809254.12,48522.01,107826.7,-118700.3,0.476,0.0
POL-2020008,Hedge Fund,Southeast,2022,600702,0,0.0,0.0,0.0,5.6061696457892,0.7955,11.0,0.6931471805599453,10,0.242,0.08,0.07995,467659.13,37387.12,83082.5,-517619.5,0.13831,0.0
POL-2020009,Insurance Carrier,Northeast,2023,45979230,0,0.0,0.0,0.0,9.190861892138539,0.72275,6.274509803921569,0.0,50,1.068,0.04,0.03997,2120819.21,84774.7,188388.23,-45790841.77,0.0041,0.0
POL-2020010,Community Bank,West,2023,62766,0,0.0,0.0,0.0,4.248495242049359,0.499,24.4,0.0,5,0.058,0.13,0.12991,1962194.0,254910.62,566468.05,503702.05,9.02508,0.0
POL-2020011,Insurance Carrier,Midwest,2024,9828117,0,0.0,0.0,0.0,8.411388132519262,0.8555,37.94117647058824,0.0,15,0.136,0.03,0.02998,6412632.38,192247.3,427216.21,-9400900.79,0.04347,0.0
POL-2020012,Insurance Carrier,National,2022,934284,0,0.0,0.0,0.0,7.507964463882813,0.9082500000000001,5.333333333333333,0.0,2,0.094,0.07,0.06995,3881564.14,271523.51,603385.59,-330898.41,0.64583,0.0
POL-2020013,Community Bank,West,2022,472877,1,1.0,3559508.0,1638723.0,4.516338972281476,0.6200000000000001,20.0,0.0,100,2.026,0.63,0.62957,2344109.58,1475778.23,3279507.18,2806630.18,6.93522,7.52734
POL-2020014,Fintech-Lending,Northeast,2022,482388,0,0.0,0.0,0.0,6.478202375344883,0.639,4.864864864864865,0.0,2,0.069,0.03,0.02998,316163.18,9478.4,21063.12,-461324.88,0.04366,0.0
POL-2020015,Custodian Bank,West,2024,25749272,0,0.0,0.0,0.0,8.716699572964293,0.7615,11.25,0.0,50,0.847,0.04,0.03997,1530279.93,61169.3,135931.78,-25613340.22,0.00528,0.0
POL-2020016,Asset Manager,West,2021,1883463,0,0.0,0.0,0.0,7.383119514469969,0.7254999999999999,15.26315789473684,0.0,5,0.237,0.06,0.05996,1073861.52,64387.59,143083.53,-1740379.47,0.07597,0.0
POL-2020017,Community Bank,Northeast,2024,130069,0,0.0,0.0,0.0,4.489759334476764,0.5670000000000001,16.956521739130434,0.6931471805599453,10,0.471,0.16,0.15989,591212.09,94529.19,210064.86,79995.86,1.61503,0.0
POL-2020018,Fintech-Lending,Southeast,2020,187317,0,0.0,0.0,0.0,4.789988622980633,0.742,11.904761904761907,0.6931471805599453,5,0.091,0.05,0.04997,3689289.19,184338.2,409640.45,222323.45,2.18688,0.0
POL-2020019,Hedge Fund,Northeast,2023,334556,0,0.0,0.0,0.0,5.297817241506355,0.90725,1.627906976744186,0.0,10,0.31,0.03,0.02998,361662.66,10842.45,24094.34,-310461.66,0.07202,0.0
POL-2020020,Fintech-Lending,Northeast,2020,1760339,1,1.0,11190.0,1093.0,4.935193098929397,0.71875,63.714285714285715,0.0,250,8.258,0.82,0.81944,325087.6,266389.37,591976.39,-1168362.61,0.33629,0.00636
POL-2020021,Regional Bank,Southeast,2021,461743,0,0.0,0.0,0.0,5.976604684200958,0.6385000000000001,6.296296296296296,0.6931471805599453,5,0.031,0.11,0.10992,1468740.95,161450.92,358779.83,-102963.17,0.77701,0.0
POL-2020022,Asset Manager,Southeast,2024,2091437,0,0.0,0.0,0.0,7.023491777464733,0.61925,20.0,0.0,15,0.488,0.08,0.07995,6490427.28,518878.79,1153063.97,-938373.03,0.55133,0.0
POL-2020023,Fintech-Lending,Midwest,2020,64877,0,0.0,0.0,0.0,4.751000634199631,0.626,4.583333333333334,0.0,1,0.033,0.12,0.11992,1286884.14,154320.4,342934.22,278057.22,5.28591,0.0
POL-2020024,Insurance Carrier,Midwest,2024,7379924,0,0.0,0.0,0.0,8.336558211551488,0.63825,10.625,1.0986122886681098,10,0.314,0.05,0.04997,1092915.02,54608.35,121351.88,-7258572.12,0.01644,0.0
POL-2020025,Hedge Fund,West,2022,1005581,0,0.0,0.0,0.0,6.111689044414351,0.6375000000000001,9.51219512195122,0.6931471805599453,10,0.194,0.13,0.12991,261305.63,33946.48,75436.62,-930144.38,0.07502,0.0
POL-2020026,Regional Bank,West,2021,5142654,0,0.0,0.0,0.0,6.635290172335217,0.9365,4.468085106382979,0.6931471805599453,100,3.878,0.03,0.02998,1589870.71,47663.47,105918.83,-5036735.17,0.0206,0.0
POL-2020027,Hedge Fund,Southwest,2024,173485,0,0.0,0.0,0.0,5.496758305221874,0.76275,26.538461538461537,0.0,2,0.084,0.12,0.11992,255971.7,30695.58,68212.4,-105272.6,0.39319,0.0
POL-2020028,Community Bank,Northeast,2020,413549,0,0.0,0.0,0.0,5.608738925969307,0.9055000000000001,2.8571428571428577,0.0,10,0.389,0.05,0.04997,423460.02,21158.51,47018.91,-366530.09,0.1137,0.0
POL-2020029,Community Bank,West,2020,55535,0,0.0,0.0,0.0,4.275276264727001,0.543,49.0,1.3862943611198906,5,0.048,0.09,0.08994,1392779.96,125264.4,278365.33,222830.33,5.01243,0.0
POL-2020030,Broker-Dealer,Southeast,2020,571877,0,0.0,0.0,0.0,5.719983853994209,0.89525,6.136363636363637,0.0,10,0.4,0.03,0.02998,19721996.85,591254.94,1313899.86,742022.86,2.29752,0.0
POL-2020031,Hedge Fund,National,2022,430268,0,0.0,0.0,0.0,6.22098770538623,0.81425,12.162162162162161,0.0,2,0.036,0.07,0.06995,825551.7,57749.06,128331.26,-301936.74,0.29826,0.0
POL-2020032,Credit Union,Midwest,2020,65773,1,1.0,470635.0,202962.0,4.3054155323020415,0.771,22.1875,0.0,5,0.127,0.66,0.65955,1277104.62,842312.12,1871804.72,1806031.72,28.45856,7.15544
POL-2020033,Custodian Bank,West,2021,5622277,0,0.0,0.0,0.0,8.051054085272654,0.718,1.8918918918918919,1.0986122886681098,10,0.488,0.13,0.12991,536568.22,69706.12,154902.5,-5467374.5,0.02755,0.0
POL-2020034,Credit Union,West,2024,31040,0,0.0,0.0,0.0,3.4965075614664802,0.755,9.6875,0.0,5,0.235,0.14,0.1399,299859.18,41951.55,93225.67,62185.67,3.0034,0.0
POL-2020035,Credit Union,National,2020,274154,0,0.0,0.0,0.0,5.007965065540377,0.6279999999999999,10.689655172413794,0.0,15,0.659,0.4,0.39973,514630.41,205711.26,457136.14,182982.14,1.66744,0.0
POL-2020036,Investment Bank,Southeast,2024,70953772,0,0.0,0.0,0.0,8.982184278838428,0.7709999999999999,11.363636363636365,0.0,100,3.523,0.18,0.17988,13142826.9,2364089.6,5253532.45,-65700239.55,0.07404,0.0
POL-2020037,Fintech-Payments,Midwest,2023,1038035,0,0.0,0.0,0.0,6.002157176646725,0.86075,8.604651162790699,0.0,15,0.347,0.11,0.10992,712531.31,78324.8,174055.1,-863979.9,0.16768,0.0
POL-2020038,Fintech-Lending,Midwest,2023,276588,0,0.0,0.0,0.0,4.314817884980432,0.57775,16.11111111111111,0.0,25,0.517,0.2,0.19986,2153021.04,430309.47,956243.28,679655.28,3.45728,0.0
POL-2020039,Community Bank,Midwest,2021,71494,0,0.0,0.0,0.0,4.3294166844015844,0.67875,14.0625,0.0,5,0.099,0.03,0.02998,4679784.87,140297.45,311772.12,240278.12,4.36082,0.0
POL-2020040,Asset Manager,West,2020,823709,1,1.0,405495.0,0.0,7.369915730766847,0.47475000000000006,24.999999999999996,0.0,2,0.025,0.63,0.62957,1048891.42,660349.3,1467442.89,643733.89,1.78151,0.49228
POL-2020041,Investment Bank,Southwest,2024,47546400,0,0.0,0.0,0.0,8.917243666822904,0.66825,7.894736842105263,0.0,50,0.434,0.08,0.07995,2861889.68,228794.47,508432.15,-47037967.85,0.01069,0.0
POL-2020042,Insurance Carrier,National,2021,79408735,0,0.0,0.0,0.0,9.483606532693603,0.8450000000000001,15.294117647058824,0.0,100,2.16,0.01,0.00999,4144695.37,41418.58,92041.3,-79316693.7,0.00116,0.0
POL-2020043,Community Bank,Southeast,2023,70241,0,0.0,0.0,0.0,3.883623530906448,0.7,4.634146341463415,0.6931471805599453,15,0.33,0.04,0.03997,998939.51,39930.23,88733.85,18492.85,1.26328,0.0
POL-2020044,Broker-Dealer,Southwest,2022,2566583,0,0.0,0.0,0.0,6.608944848742513,0.90525,4.8,0.6931471805599453,25,0.785,0.02,0.01999,12762356.7,255072.43,566827.62,-1999755.38,0.22085,0.0
POL-2020045,Asset Manager,Midwest,2021,1713211,1,1.0,210858.0,63685.0,6.5807778239227135,0.6665,7.096774193548387,1.3862943611198906,25,0.297,0.77,0.76947,7428385.77,5715942.01,12702093.36,10988882.36,7.4142,0.12308
POL-2020046,Regional Bank,Southeast,2021,218936,0,0.0,0.0,0.0,5.907811162110729,0.8610000000000001,4.166666666666667,0.0,2,0.094,0.03,0.02998,902429.61,27054.36,60120.8,-158815.2,0.2746,0.0
POL-2020047,Fintech-Lending,Southeast,2020,238228,0,0.0,0.0,0.0,3.7376696182833684,0.8115,5.7142857142857135,0.6931471805599453,50,0.899,0.04,0.03997,2213071.08,88462.25,196582.78,-41645.22,0.82519,0.0
POL-2020048,Broker-Dealer,National,2020,1288112,0,0.0,0.0,0.0,7.018222732008108,0.83825,68.23529411764706,0.0,5,0.118,0.1,0.09993,11137235.07,1112961.21,2473247.12,1185135.12,1.92006,0.0
POL-2020049,Credit Union,National,2020,130984,0,0.0,0.0,0.0,4.180522258463153,0.7405000000000002,8.78048780487805,0.0,25,1.02,0.16,0.15989,1188080.91,189962.83,422139.63,291155.63,3.22283,0.0
POL-2020050,Credit Union,West,2024,49456,0,0.0,0.0,0.0,4.079230924412053,0.8150000000000001,23.25,0.6931471805599453,5,0.11,0.11,0.10992,364283.93,40043.81,88986.23,39530.23,1.7993,0.0
POL-2020051,Community Bank,National,2021,54355,1,1.0,37128.0,15439.0,3.0726933146901194,0.59025,35.65217391304348,0.6931471805599453,25,0.282,0.39,0.38973,1592391.2,620607.49,1379127.76,1324772.76,25.3726,0.68307
POL-2020052,Community Bank,Southeast,2022,15587,0,0.0,0.0,0.0,3.879499813722586,0.88925,11.25,0.6931471805599453,1,0.044,0.1,0.09993,238222.26,23805.92,52902.05,37315.05,3.39399,0.0
POL-2020053,Investment Bank,West,2024,1613262,1,1.0,2146685.0,446431.0,8.055379929354201,0.45475,42.285714285714285,0.0,1,0.025,0.71,0.70951,268837.8,190744.19,423875.98,-1189386.02,0.26274,1.33065
POL-2020054,National Bank,National,2020,1422889470,0,0.0,0.0,0.0,11.48964046123352,0.7057499999999999,16.857142857142858,0.6931471805599453,250,9.087,0.24,0.23984,9952557.85,2386978.97,5304397.71,-1417585072.29,0.00373,0.0
POL-2020055,Asset Manager,Southwest,2022,311047,0,0.0,0.0,0.0,6.857303735486039,0.6887500000000001,3.58974358974359,0.6931471805599453,1,0.025,0.07,0.06995,736359.63,51509.89,114466.43,-196580.57,0.368,0.0
POL-2020056,Custodian Bank,National,2024,15675741,0,0.0,0.0,0.0,8.708177121288845,0.57875,4.583333333333334,0.6931471805599453,25,0.283,0.11,0.10992,7092799.38,779673.91,1732608.68,-13943132.32,0.11053,0.0
POL-2020057,Community Bank,Midwest,2022,96478,0,0.0,0.0,0.0,4.669083511731744,0.77225,10.357142857142856,0.0,5,0.249,0.07,0.06995,359773.75,25166.92,55926.5,-40551.5,0.57968,0.0
POL-2020058,Regional Bank,National,2024,291724,1,1.0,541634.0,143759.0,6.1235887000350235,0.484,4.333333333333333,1.0986122886681098,2,0.025,0.31,0.30979,5673509.9,1757584.24,3905742.77,3614018.77,13.38849,1.85667
POL-2020059,Regional Bank,West,2021,652023,0,0.0,0.0,0.0,6.228708222800973,0.6865000000000001,2.8205128205128207,0.0,10,0.234,0.15,0.1499,2413667.44,361802.31,804005.12,151982.12,1.23309,0.0
POL-2020060,Community Bank,Midwest,2024,21785,0,0.0,0.0,0.0,3.696351468952637,0.79475,9.666666666666666,0.0,2,0.026,0.06,0.05996,1316871.75,78958.22,175462.72,153677.72,8.05429,0.0
POL-2020061,Broker-Dealer,Midwest,2023,830257,0,0.0,0.0,0.0,7.25749623831794,0.65175,5.357142857142857,0.0,2,0.091,0.03,0.02998,6158734.21,184635.56,410301.25,-419955.75,0.49419,0.0
POL-2020062,Hedge Fund,National,2020,815679,0,0.0,0.0,0.0,6.3875524934035495,0.6645,2.8571428571428568,0.6931471805599453,5,0.085,0.04,0.03997,1220912.85,48803.09,108451.31,-707227.69,0.13296,0.0
POL-2020063,Asset Manager,Southwest,2023,3841150,0,0.0,0.0,0.0,7.036588150825105,0.649,59.677419354838705,0.0,50,1.207,0.09,0.08994,553536.71,49784.21,110631.57,-3730518.43,0.0288,0.0
POL-2020064,Community Bank,Midwest,2024,58357,0,0.0,0.0,0.0,4.04305126783455,0.8212499999999999,2.162162162162162,0.0,5,0.029,0.06,0.05996,510529.0,30610.77,68023.94,9666.94,1.16565,0.0
POL-2020065,Fintech-Lending,Midwest,2021,562539,0,0.0,0.0,0.0,5.515040350059324,0.8337500000000001,8.787878787878787,0.6931471805599453,10,0.32,0.01,0.00999,1616110.41,16150.04,35888.98,-526650.02,0.0638,0.0
POL-2020066,Asset Manager,West,2022,412439,0,0.0,0.0,0.0,5.938327448694853,0.7217500000000001,2.8205128205128207,0.0,5,0.113,0.08,0.07995,913407.37,73022.57,162272.39,-250166.61,0.39345,0.0
POL-2020067,Asset Manager,Northeast,2021,1356547,1,1.0,4463169.0,3093442.0,6.452364362104247,0.7102499999999999,37.89473684210526,0.6931471805599453,15,0.41,0.71,0.70951,1104193.68,783440.91,1740979.8,384432.8,1.28339,3.2901
POL-2020068,Community Bank,Southwest,2024,80270,0,0.0,0.0,0.0,4.12552017969055,0.6652499999999999,19.166666666666668,0.6931471805599453,10,0.316,0.08,0.07995,890915.63,71224.47,158276.59,78006.59,1.9718,0.0
POL-2020069,Community Bank,Northeast,2022,196424,1,1.0,31953.0,25242.0,4.724729421045731,0.49949999999999994,12.702702702702702,1.0986122886681098,15,0.244,0.7,0.69952,1223216.26,855665.31,1901478.47,1705054.47,9.68048,0.16267
POL-2020070,Community Bank,Northeast,2023,104971,0,0.0,0.0,0.0,4.237000862623624,0.69575,13.75,0.6931471805599453,10,0.194,0.22,0.21985,140990.5,30996.68,68881.51,-36089.49,0.6562,0.0
POL-2020071,Community Bank,West,2024,54389,1,1.0,69852.0,0.0,5.122772794033106,0.6467499999999999,2.058823529411765,1.3862943611198906,1,0.041,0.77,0.76947,1059553.25,815297.58,1811772.39,1757383.39,33.31138,1.2843
POL-2020072,Regional Bank,Midwest,2020,1923082,0,0.0,0.0,0.0,7.089743446874854,0.6657500000000001,34.0,0.0,10,0.266,0.07,0.06995,1159577.28,81114.85,180255.23,-1742826.77,0.09373,0.0
POL-2020073,Regional Bank,Southeast,2020,125887,0,0.0,0.0,0.0,5.969218938160663,0.614,5.3125,1.0986122886681098,1,0.025,0.35,0.34976,13333469.79,4663520.23,10363378.3,10237491.3,82.32286,0.0
POL-2020074,Community Bank,West,2024,59329,1,1.0,84405.0,60193.0,3.8753590210565547,0.54225,15.714285714285714,0.0,10,0.496,0.16,0.15989,234988.12,37572.37,83494.15,24165.15,1.40731,1.42266
POL-2020075,Hedge Fund,Southeast,2023,512016,0,0.0,0.0,0.0,5.401776074916267,0.8604999999999999,23.61111111111111,0.0,10,0.076,0.05,0.04997,2989770.59,149386.21,331969.36,-180046.64,0.64836,0.0
POL-2020076,Community Bank,National,2024,22068,0,0.0,0.0,0.0,4.139955073474153,0.8272499999999999,2.3684210526315788,0.0,1,0.032,0.02,0.01999,1160091.46,23185.95,51524.33,29456.33,2.3348,0.0
