policy_id,sub_sector,region,policy_year,premium_usd,had_claim,n_claims,total_loss,bi_loss,log_revenue,cyber_control_score,vendor_control_pressure,prior_incident_score,limit_mm,retention_mm,predicted_claim_probability,expected_claim_frequency,expected_claim_severity,pure_premium,technical_premium_template,premium_gap,indicated_to_current_ratio,actual_loss_ratio,simulated_VaR_95,simulated_VaR_99,risk_adjusted_technical_premium
POL-2020000,Broker-Dealer,National,2020,691695,0,0.0,0.0,0.0,6.860244296311086,0.8722500000000001,10.789473684210526,0.0,2,0.076,0.10865,0.10857,7203388.95,782090.88,1737979.72,1046284.72,2.51264,0.0,2000000.0,2409419.37940822,1858450.688970411
POL-2020001,Regional Bank,National,2021,1044220,1,1.0,27180.0,10139.0,6.596190266067024,0.7325,7.419354838709677,0.0,10,0.244,0.18549,0.18536,2902379.47,537988.62,1195530.26,151310.26,1.1449,0.02603,3933057.327810805,7350300.025239147,1563045.2612619575
POL-2020002,Community Bank,Southeast,2020,45292,0,0.0,0.0,0.0,4.041295341132285,0.9702500000000002,4.0,0.0,5,0.162,0.0347,0.03467,1026854.85,35605.61,79123.57,33831.57,1.74697,0.0,0.0,1335108.2406652698,145878.98203326348
POL-2020003,National Bank,Northeast,2022,419848548,1,1.0,3621732.0,2025802.0,10.397045952153281,0.6499999999999999,13.0,0.0,250,4.757,0.16688,0.16676,7649234.37,1275618.12,2834706.94,-417013841.06,0.00675,0.00863,8171848.962277931,23196501.171388492,3994531.9985694243
POL-2020004,Broker-Dealer,Midwest,2022,1280636,0,0.0,0.0,0.0,6.286742696181391,0.46399999999999997,17.333333333333332,0.0,15,0.265,0.0936,0.09354,2840352.69,265674.09,590386.87,-690249.13,0.46101,0.0,2116853.718571561,5496197.530991247,865196.7465495623
POL-2020005,National Bank,Southeast,2023,103618007,0,0.0,0.0,0.0,9.616052116333794,0.607,23.703703703703702,0.0,100,1.899,0.12154,0.12146,6242257.53,758156.95,1684793.22,-101933213.78,0.01626,0.0,4848147.382542024,13407692.724595474,2355177.8562297737
POL-2020006,Regional Bank,Southwest,2021,353381,1,1.0,1123789.0,116934.0,6.429719478039138,0.8517499999999999,2.7777777777777777,0.6931471805599453,2,0.057,0.15173,0.15162,3503445.94,531204.29,1180453.98,827072.98,3.34046,3.18011,2000000.0,2001353.5743972606,1280521.658719863
POL-2020007,Fintech-Payments,Southwest,2020,226527,0,0.0,0.0,0.0,5.834810737062605,0.6407499999999999,19.428571428571427,0.0,1,0.025,0.16194,0.16183,803215.11,129985.68,288857.06,62330.06,1.27516,0.0,921506.9283922765,1000000.0,338857.06
POL-2020008,Hedge Fund,Southeast,2022,600702,0,0.0,0.0,0.0,5.6061696457892,0.7955,11.0,0.6931471805599453,10,0.242,0.19628,0.19615,465054.59,91219.42,202709.82,-397992.18,0.33745,0.0,676321.7853403628,1342367.7153772812,269828.2057688641
POL-2020009,Insurance Carrier,Northeast,2023,45979230,0,0.0,0.0,0.0,9.190861892138539,0.72275,6.274509803921569,0.0,50,1.068,0.13551,0.13542,2113254.02,286167.89,635928.65,-45343301.35,0.01383,0.0,2221790.170467802,4897383.482921648,880797.8241460824
POL-2020010,Community Bank,West,2023,62766,0,0.0,0.0,0.0,4.248495242049359,0.499,24.4,0.0,5,0.058,0.32554,0.32532,1980604.81,644332.33,1431849.61,1369083.61,22.8125,0.0,3673159.9174334886,6595689.7678721445,1761634.0983936074
POL-2020011,Insurance Carrier,Midwest,2024,9828117,0,0.0,0.0,0.0,8.411388132519262,0.8555,37.94117647058824,0.0,15,0.136,0.17201,0.17189,6386569.14,1097798.57,2439552.38,-7388564.62,0.24822,0.0,7958273.62678409,15000000.0,3189552.38
POL-2020012,Insurance Carrier,National,2022,934284,0,0.0,0.0,0.0,7.507964463882813,0.9082500000000001,5.333333333333333,0.0,2,0.094,0.17101,0.17089,3883290.78,663627.67,1474728.16,540444.16,1.57846,0.0,2000000.0,3452312.765334717,1647343.7982667359
POL-2020013,Community Bank,West,2022,472877,1,1.0,3559508.0,1638723.0,4.516338972281476,0.6200000000000001,20.0,0.0,100,2.026,0.23455,0.23439,2345989.94,549880.62,1221956.93,749079.93,2.58409,7.52734,3682107.867890574,7874546.022228968,1615684.2311114483
POL-2020014,Fintech-Lending,Northeast,2022,482388,0,0.0,0.0,0.0,6.478202375344883,0.639,4.864864864864865,0.0,2,0.069,0.16431,0.16419,315423.68,51790.3,115089.55,-367298.45,0.23858,0.0,473191.3391615343,881581.3828033145,159168.61914016574
POL-2020015,Custodian Bank,West,2024,25749272,0,0.0,0.0,0.0,8.716699572964293,0.7615,11.25,0.0,50,0.847,0.11745,0.11736,1547241.85,181591.68,403537.06,-25345734.94,0.01567,0.0,1696113.3321235154,3604292.281007083,583751.6740503542
POL-2020016,Asset Manager,West,2021,1883463,0,0.0,0.0,0.0,7.383119514469969,0.7254999999999999,15.26315789473684,0.0,5,0.237,0.14134,0.14124,1074875.7,151815.09,337366.86,-1546096.14,0.17912,0.0,1002467.6018258423,2636288.6063296907,469181.2903164845
POL-2020017,Community Bank,Northeast,2024,130069,0,0.0,0.0,0.0,4.489759334476764,0.5670000000000001,16.956521739130434,0.6931471805599453,10,0.471,0.19842,0.19828,587860.22,116562.85,259028.56,128959.56,1.99147,0.0,859255.7169730192,1654699.4906840352,341763.5345342018
POL-2020018,Fintech-Lending,Southeast,2020,187317,0,0.0,0.0,0.0,4.789988622980633,0.742,11.904761904761907,0.6931471805599453,5,0.091,0.21891,0.21876,3683585.87,805815.71,1790701.57,1603384.57,9.55974,0.0,4117076.5261881487,5000000.0,2040701.57
POL-2020019,Hedge Fund,Northeast,2023,334556,0,0.0,0.0,0.0,5.297817241506355,0.90725,1.627906976744186,0.0,10,0.31,0.09849,0.09842,358853.85,35317.95,78484.33,-256071.67,0.23459,0.0,241419.0115274358,596293.0377042502,108298.98188521252
POL-2020020,Fintech-Lending,Northeast,2020,1760339,1,1.0,11190.0,1093.0,4.935193098929397,0.71875,63.714285714285715,0.0,250,8.258,0.2629,0.26272,324540.35,85262.06,189471.25,-1570867.75,0.10763,0.00636,560707.7333443777,1048525.5720344448,241897.52860172224
POL-2020021,Regional Bank,Southeast,2021,461743,0,0.0,0.0,0.0,5.976604684200958,0.6385000000000001,6.296296296296296,0.6931471805599453,5,0.031,0.18946,0.18933,1464792.39,277335.49,616301.08,154558.08,1.33473,0.0,1797957.4957998535,3496752.1367934113,791138.6868396705
POL-2020022,Asset Manager,Southeast,2024,2091437,0,0.0,0.0,0.0,7.023491777464733,0.61925,20.0,0.0,15,0.488,0.15587,0.15577,6508493.47,1013811.54,2252914.54,161477.54,1.07721,0.0,7783775.26439241,15000000.0,3002914.54
POL-2020023,Fintech-Lending,Midwest,2020,64877,0,0.0,0.0,0.0,4.751000634199631,0.626,4.583333333333334,0.0,1,0.033,0.24303,0.24286,1301240.96,316020.72,702268.27,637391.27,10.82461,0.0,1000000.0,1997203.153891189,802128.4276945594
POL-2020024,Insurance Carrier,Midwest,2024,7379924,0,0.0,0.0,0.0,8.336558211551488,0.63825,10.625,1.0986122886681098,10,0.314,0.23648,0.23632,1086305.85,256716.44,570480.97,-6809443.03,0.0773,0.0,1508773.928509545,3095351.3588388986,725248.5379419449
POL-2020025,Hedge Fund,West,2022,1005581,0,0.0,0.0,0.0,6.111689044414351,0.6375000000000001,9.51219512195122,0.6931471805599453,10,0.194,0.3053,0.30509,259229.74,79087.91,175750.92,-829830.08,0.17478,0.0,476010.25359768176,939167.4842013558,222709.2942100678
POL-2020026,Regional Bank,West,2021,5142654,0,0.0,0.0,0.0,6.635290172335217,0.9365,4.468085106382979,0.6931471805599453,100,3.878,0.08622,0.08616,1583356.94,136424.63,303165.84,-4839488.16,0.05895,0.0,936508.5664753732,3335069.044349155,469919.2922174578
